job_link,job_title,comp_name,location,expire_date,update_date,industry,salary,staff_type,job_level,exp,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/data-engineer.35BEDE68.html,Data Engineer,Công Ty Tài Chính Mirae Asset (Việt Nam),Hồ Chí Minh,Hạn nộp: 30-11-2023,['14-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng, Ngân hàng",Cạnh tranh,Nhân viên chính thức,Nhân viên,4 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/data-manager.35BE2B06.html,Data Manager,Công ty Cổ phần Thời Trang YODY,"Hà Nội, Hải Dương",Hạn nộp: 30-11-2023,['16-11-2023'],CNTT - Phần mềm,Cạnh tranh,Nhân viên chính thức,Quản lý,1 - 4 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/data-intern.35BEEEAE.html,Data Intern,Công ty CP Thành Thành Công - Biên Hòa,Hồ Chí Minh,Hạn nộp: 08-12-2023,['08-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Ngành khác",Cạnh tranh,Thực tập,Sinh viên/ Thực tập sinh,nan,nan
https://careerbuilder.vn/vi/tim-viec-lam/data-engineer.35BF0168.html,"Data Engineer
                                             (Mới)",Yes4All Trading Services Company Limited,Hồ Chí Minh,Hạn nộp: 19-12-2023,['19-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Cạnh tranh,Nhân viên chính thức,Nhân viên,1 - 2 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst.35BDF7D4.html,Data Analyst,CÔNG TY TNHH GIMASYS,Hà Nội,Hạn nộp: 08-12-2023,['09-11-2023'],CNTT - Phần mềm,Cạnh tranh,Nhân viên chính thức,Nhân viên,1 - 3 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/data-engineer.35BDE963.html,Data engineer,CÔNG TY TNHH GIMASYS,Hà Nội,Hạn nộp: 01-12-2023,['02-11-2023'],CNTT - Phần mềm,Cạnh tranh,Nhân viên chính thức,Nhân viên,1 - 3 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/ho-data-quality-data-governance-specialist.35BDBC49.html,HO - Data Quality/ Data Governance Specialist,ACB - Ngân Hàng TMCP Á Châu,Hồ Chí Minh,Hạn nộp: 05-12-2023,['06-11-2023'],"Ngân hàng, CNTT - Phần mềm",Cạnh tranh,Nhân viên chính thức,Nhân viên,1 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/data-operation-engineer.35BDFDC0.html,Data Operation Engineer,Công Ty CP Chứng Khoán VNDIRECT,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"CNTT - Phần mềm, Chứng khoán, Tài chính / Đầu tư",Cạnh tranh,Nhân viên chính thức,Nhân viên,1 - 3 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/data-protection-security-specialist.35BE041E.html,Data Protection & Security Specialist,CÔNG TY TNHH TALENTVIS VIỆT NAM,Hà Nội,Hạn nộp: 12-12-2023,['13-11-2023'],"Ngân hàng, Tài chính / Đầu tư, CNTT - Phần mềm",30 Tr - 40 Tr VND,Nhân viên chính thức,Nhân viên,1 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/head-of-data-and-smart.35BE073E.html,Head of Data and Smart,Indo Trans Logistics,Hồ Chí Minh,Hạn nộp: 15-12-2023,['16-11-2023'],"Quản lý điều hành, CNTT - Phần mềm, Xuất nhập khẩu",Cạnh tranh,Nhân viên chính thức,Quản lý,5 - 10 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/sales-analyst-data-analyst.35BE0428.html,Sales Analyst/ Data Analyst,CÔNG TY TNHH TALENTVIS VIỆT NAM,Hà Nội,Hạn nộp: 12-12-2023,['13-11-2023'],"Ngân hàng, Tài chính / Đầu tư",30 Tr - 40 Tr VND,Nhân viên chính thức,Nhân viên,3 - 6 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-analyst.35BEF4FD.html,Senior Data Analyst,Yes4All Trading Services Company Limited,Hồ Chí Minh,Hạn nộp: 11-12-2023,['19-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Cạnh tranh,Nhân viên chính thức,Nhân viên,2 - 3 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-engineer.35BDDD82.html,Senior Data Engineer,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 4 ngày,['26-10-2023'],"Bán lẻ / Bán sỉ, CNTT - Phần mềm, Thống kê",Cạnh tranh,Nhân viên chính thức,Nhân viên,5 - 8 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-engineer.35BEEC9F.html,Senior Data Engineer,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Hạn nộp: 25-12-2023,['14-11-2023'],"Bán lẻ / Bán sỉ, CNTT - Phần mềm, Thống kê",Cạnh tranh,Nhân viên chính thức,Nhân viên,5 - 8 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-engineer.35BE5F6D.html,Senior Data Engineer,Tổng công ty Cổ phần Bảo hiểm Bưu điện,Hà Nội,Hạn nộp: 30-11-2023,['17-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Cạnh tranh,Nhân viên chính thức,Nhân viên,5 - 7 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/data-engineer.35BE487F.html,Data Engineer,DatvietVAC Group Holdings,Hồ Chí Minh,Hạn nộp: 30-11-2023,['27-10-2023'],nan,nan,nan,nan,nan,nan
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-scientist-ii-zalopay-data-platform.35BDF034.html,"Senior Data Scientist II (ZaloPay, Data Platform)",Công Ty Cổ Phần VNG,Hồ Chí Minh,Hạn nộp: 03-12-2023,['04-11-2023'],CNTT - Phần mềm,Cạnh tranh,Nhân viên chính thức,Trưởng nhóm / Giám sát,3 - 8 Năm,nan
