job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level
https://careerbuilder.vn/vi/tim-viec-lam/kien-truc-du-lieu.35BDDD86.html,Kiến trúc Dữ liệu,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 24-12-2023,['25-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên4 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/kien-truc-du-lieu.35BF0F7B.html,"Kiến trúc Dữ liệu
                                             (Mới)",Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 26-12-2023,['27-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên4 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-engineer-khoi-du-lieu.35BEFF75.html,Data Engineer - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 31-12-2023,['24-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/business-analyst-khoi-du-lieu.35BDBD74.html,Business Analyst - Khối Dữ Liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 06-12-2023,['07-11-2023'],"CNTT - Phần mềm, Ngân hàng, Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/business-analyst-khoi-du-lieu.35BDFF14.html,Business Analyst - Khối Dữ Liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"CNTT - Phần mềm, Ngân hàng, Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu.35BEF92E.html,Chuyên Viên Phân Tích Dữ Liệu,Công ty Cổ phần CANIFA,Hà Nội,Cơ hội ứng tuyển chỉ còn: 1 ngày,['28-11-2023'],"Kế toán / Kiểm toán, CNTT - Phần mềm, Dệt may / Da giày / Thời trang",Nhân viên chính thức,10 Tr - 20 Tr VND,2 - 10 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-phan-tich-du-lieu-cvp.35BDCA8B.html,Chuyên gia Phân tích dữ liệu - CVP,Công Ty Tài Chính TNHH MB SHINSEI (MCREDIT),Hà Nội,Hạn nộp: 13-12-2023,['14-11-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,5 - 7 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-phan-tich-du-lieu.35BDB9F3.html,Chuyên gia Phân tích dữ liệu,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Cơ hội ứng tuyển chỉ còn: 6 ngày,['06-11-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/ky-su-du-lieu.35BE1654.html,Kỹ Sư Dữ Liệu,Công Ty CP Chứng Khoán MB,Hà Nội,Hạn nộp: 23-12-2023,['24-11-2023'],"Ngân hàng, CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,nan,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-du-lieu.35BE17E1.html,Chuyên Viên Dữ Liệu,Công Ty CP Chứng Khoán MB,Hà Nội,Hạn nộp: 23-12-2023,['24-11-2023'],"Ngân hàng, CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,nan,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-chuyen-gia-quan-ly-cau-truc-du-lieu-khoi-du-lieu.35BDEB89.html,Chuyên viên/CVCC/Chuyên gia Quản lý cấu trúc dữ liệu - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Cơ hội ứng tuyển chỉ còn: 3 ngày,['02-11-2023'],"Ngành khác, Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-chuyen-gia-chinh-sach-va-chat-luong-du-lieu-khoi-du-lieu.35BDEB86.html,Chuyên viên/CVCC/Chuyên gia Chính sách và chất lượng dữ liệu - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Cơ hội ứng tuyển chỉ còn: 3 ngày,['02-11-2023'],"Ngân hàng, Thống kê",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/van-phong-chuyen-doi-trung-tam-du-lieu-phan-tich-truong-phong-quan-tri-du-lieu.35BF0689.html,Văn phòng Chuyển đổi - Trung tâm Dữ liệu & Phân tích - Trưởng Phòng Quản trị dữ liệu,LPBank,Hà Nội,Hạn nộp: 31-12-2023,['29-11-2023'],"Bán hàng / Kinh doanh, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Quản lý
https://careerbuilder.vn/vi/tim-viec-lam/van-phong-chuyen-doi-trung-tam-du-lieu-phan-tich-chuyen-gia-quan-tri-du-lieu.35BF0691.html,Văn phòng Chuyển đổi - Trung tâm Dữ liệu & Phân tích - Chuyên gia Quản trị dữ liệu,LPBank,Hà Nội,Hạn nộp: 31-12-2023,['29-11-2023'],"Bán hàng / Kinh doanh, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-scientist-trung-tam-cong-nghe-du-lieu-khoi-du-lieu.35BDB985.html,Data Scientist - Trung tâm Công nghệ Dữ Liệu - Khối Dữ Liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Cơ hội ứng tuyển chỉ còn: 6 ngày,['05-11-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
