job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst.35BDF7D4.html,Data Analyst,CÔNG TY TNHH GIMASYS,Hà Nội,Hạn nộp: 08-12-2023,['09-11-2023'],CNTT - Phần mềm,Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst.35BEF341.html,Data Analyst,Công ty Cổ phần CANIFA,Hà Nội,Hạn nộp: 30-11-2023,['17-11-2023'],"Kế toán / Kiểm toán, Tài chính / Đầu tư, CNTT - Phần mềm",Nhân viên chính thức,10 Tr - 22 Tr VND,2 - 10 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/sales-analyst-data-analyst.35BE0428.html,Sales Analyst/ Data Analyst,CÔNG TY TNHH TALENTVIS VIỆT NAM,Hà Nội,Hạn nộp: 12-12-2023,['13-11-2023'],"Ngân hàng, Tài chính / Đầu tư",Nhân viên chính thức,30 Tr - 40 Tr VND,3 - 6 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/workforce-management-data-analyst.35BED9B3.html,Workforce Management(Data Analyst),Vietnam Concentrix Services Company Limited,Hồ Chí Minh,Hạn nộp: 30-11-2023,['06-11-2023'],"Dịch vụ khách hàng, Thống kê, Ngành khác",Nhân viên chính thức,16 Tr - 18 Tr VND,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-workforce-management-analyst-supervisor.35BE11A1.html,Data Analyst/ Workforce Management Analyst Supervisor,CHI NHÁNH CÔNG TY TNHH TRANSCOSMOS VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,Hồ Chí Minh,Hạn nộp: 30-11-2023,['03-11-2023'],"Bán hàng / Kinh doanh, Dịch vụ khách hàng, Tài chính / Đầu tư",Nhân viên chính thức,25 Tr - 30 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát
https://careerbuilder.vn/vi/tim-viec-lam/hr-data-analyst-specialist.35BEE606.html,HR Data Analyst Specialist,CÔNG TY CỔ PHẦN GONSA,Hồ Chí Minh,Hạn nộp: 03-12-2023,['04-11-2023'],"Nhân sự, Thống kê, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-data-analyst.35BE10E6.html,Chuyên Viên Data Analyst,Công Ty Cổ Phần Vacxin Việt Nam,Hồ Chí Minh,,['20-10-2023'],"Kế toán / Kiểm toán, Tài chính / Đầu tư",Nhân viên chính thức,13 Tr - 18 Tr VND,1 - 2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-data-analyst.35BEE496.html,Nhân Viên Data Analyst,Công Ty Cổ Phần Vacxin Việt Nam,Hồ Chí Minh,Hạn nộp: 26-11-2023,['03-11-2023'],"Kế toán / Kiểm toán, Ngân hàng, Tài chính / Đầu tư",Nhân viên chính thức,15 Tr - 20 Tr VND,1 - 2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-analyst.35BE0D20.html,Senior Data Analyst,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,Hạn nộp: 17-12-2023,['18-11-2023'],CNTT - Phần mềm,Nhân viên chính thức,22 Tr - 30 Tr VND,2 - 4 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-executive.35BDF721.html,Data Analyst Executive,Công ty TNHH Olam Việt Nam - Chi Nhánh Long Bình,Đồng Nai,Hạn nộp: 08-12-2023,['09-11-2023'],"Kế toán / Kiểm toán, Tài chính / Đầu tư, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/senior-data-analyst.35BEF4FD.html,Senior Data Analyst,Yes4All Trading Services Company Limited,Hồ Chí Minh,Hạn nộp: 11-12-2023,['19-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-analyst-workforce-management-analyst-six-months-contract.35BE124E.html,Data Analyst/ Workforce Management Analyst (Six-months Contract),CHI NHÁNH CÔNG TY TNHH TRANSCOSMOS VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 2 ngày,['28-10-2023'],"Dịch vụ khách hàng, Bưu chính viễn thông, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,Lên đến1Năm,Nhân viên
