job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/warehouse-assistant.35BE0FD7.html,Warehouse Assistant,Công Ty TNHH LF Logistics (Việt Nam),Bình Dương,Hạn nộp: 30-11-2023,['07-11-2023'],"Dịch vụ khách hàng, Vận chuyển / Giao nhận /Kho vận, Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kho-bao-bi-nganh-duoc.35BEE9FD.html,"NHÂN VIÊN KHO BAO BÌ - NGÀNH DƯỢC
                                             (Mới)",Công Ty Cổ Phần Dược Phẩm Phong Phú,Hồ Chí Minh,Hạn nộp: 06-12-2023,['07-11-2023'],"Dược phẩm, Y tế / Chăm sóc sức khỏe, Vận chuyển / Giao nhận /Kho vận",Nhân viên chính thức,Cạnh tranh,nan,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/sales-executive.35BDD239.html,Sales Executive,CÔNG TY TNHH LOGISTEED VIỆT NAM,"Hồ Chí Minh, Hà Nội",Hạn nộp: 17-11-2023,['07-11-2023'],"Bán hàng / Kinh doanh,Vận chuyển / Giao nhận /Kho vận",Nhân viên chính thức,"Trên15,000,000 VND",3 - 5Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-dieu-phoi-van-tai.35BEE98B.html,"Nhân viên điều phối vận tải
                                             (Mới)",Công ty TNHH Ru9,Hồ Chí Minh,Hạn nộp: 30-11-2023,['07-11-2023'],"Bán lẻ / Bán sỉ, Vận chuyển / Giao nhận /Kho vận, Bán hàng / Kinh doanh",Nhân viên chính thức,"10,000,000 - 12,000,000 VND",1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-dieu-phoi-van-tai-hien-truong.35BE1742.html,Nhân Viên Điều Phối Vận Tải / Hiện Trường,CÔNG TY TRÁCH NHIỆM HỮU HẠN FM SUPPLY CHAIN VIỆT NAM,Bình Dương,Hạn nộp: 30-11-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/pho-giam-doc-cang.35BE37B6.html,Phó Giám Đốc Cảng,CÔNG TY CỔ PHẦN VINDOCHINA CARGO SOLUTIONS,Bà Rịa - Vũng Tàu,Hạn nộp: 26-11-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Quản lý điều hành, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Phó Giám đốc,nan
https://careerbuilder.vn/vi/tim-viec-lam/wholesales-manager.35BEE88E.html,"Wholesales Manager
                                             (Mới)",Vantage Logistics Corporation,Hồ Chí Minh,Hạn nộp: 20-12-2023,['06-11-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/sales-logistics.35BDF35C.html,Sales Logistics,Công ty TNHH Dịch vụ và Thương Mại Tân Nam Chinh,"Hồ Chí Minh, Đồng Nai",Hạn nộp: 04-12-2023,['05-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Bán hàng / Kinh doanh, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,4 - 10 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/to-truong-kho-van.35BE01F4.html,Tổ Trưởng Kho Vận,Hệ thống Vĩnh Tân,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 5 ngày,['05-11-2023'],Vận chuyển / Giao nhận /Kho vận,Nhân viên chính thức,8 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/warehouse-manager.35BEDD00.html,Warehouse Manager,CareerBuilder's client,Bình Dương,Hạn nộp: 19-11-2023,['05-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Dệt may / Da giày / Thời trang, In ấn / Xuất bản",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/shipping-and-receiving-leader-nhon-trach.35BDF0C8.html,Shipping and Receiving Leader (Nhơn Trạch),Summit Polymers Vietnam Co Ltd.,Đồng Nai,Hạn nộp: 03-12-2023,['04-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kho.35BDF053.html,Nhân viên kho,Saint-Gobain Vietnam,Hải Phòng,Hạn nộp: 03-12-2023,['04-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,400 - 600 USD,1 - 2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/logistics-project-staff-binh-duong.35BEE637.html,Logistics Project Staff - Bình Dương,Công ty TNHH YCH - Protrade,Bình Dương,Hạn nộp: 10-12-2023,['03-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/quan-ly-kho.35BEE591.html,Quản Lý Kho,Công ty Cổ Phần Chuỗi Nhà Hàng SVN,Hà Nội,Hạn nộp: 30-11-2023,['03-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Thực phẩm & Đồ uống, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,22 Tr - 25 Tr VND,2 - 5 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/logistics-planner-nhan-vien-hau-can-lam-viec-tai-binh-duong.35BEE481.html,"Logistics Planner (Nhân Viên Hậu Cần, làm việc tại Bình Dương)",Jotun Paints Vietnam Company Limited,Bình Dương,Hạn nộp: 30-11-2023,['03-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Hóa học, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-lai-xe-nang.35BDFB0B.html,NHÂN VIÊN LÁI XE NÂNG,Công Ty TNHH CJ Vina Agri,Vĩnh Long,Hạn nộp: 30-11-2023,['03-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Lao động phổ thông",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 10 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-vien.35BDEA55.html,Kế Toán Viên,CÔNG TY TNHH CHĂN GA GỐI ĐỆM ELAN,Hải Phòng,Hạn nộp: 01-12-2023,['02-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Kế toán / Kiểm toán, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/national-transportation-manager.35BEE002.html,National Transportation Manager,Toll Group I Logistic and Forwarding,Hồ Chí Minh,Hạn nộp: 01-12-2023,['01-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/chief-accountant.35BE086D.html,Chief Accountant,YUNEXPRESS LOGISTICS VIETNAM,Hồ Chí Minh,Hạn nộp: 30-11-2023,['31-10-2023'],Vận chuyển / Giao nhận /Kho vận,Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Quản lý,nan
