job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/pricing-booking-leader-logistics.35BDEEB3.html,"PRICING/BOOKING LEADER (LOGISTICS)
                                             (Mới)",CÔNG TY TNHH VẬN CHUYỂN VÙNG VỊNH,Hồ Chí Minh,Hạn nộp: 31-10-2023,['04-10-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,15 Tr - 20 Tr VND,2 - 4 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/import-export-manager.35BDD64D.html,Import - Export Manager,Công ty TNHH Điện Máy Aqua Việt Nam,Đồng Nai,Hạn nộp: 31-10-2023,['04-10-2023'],"Xuất nhập khẩu, Điện / Điện tử / Điện lạnh, Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/truong-buu-cuc-khach-hang-lon-tai-tay-ninh.35BDE275.html,Trưởng Bưu cục khách hàng lớn tại Tây Ninh,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện,Tây Ninh,Hạn nộp: 30-11-2023,['04-10-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/hyosung-gongchae-2023-hiring-50-positions-for-freshers-or-below-2-years-of-experiences.35BDEB38.html,"Hyosung Gongchae 2023 – Hiring 50 positions for freshers or below 2 years of experiences
                                             (Mới)",HYOSUNG,"Hồ Chí Minh, Đồng Nai",Hạn nộp: 10-11-2023,['03-10-2023'],"Xuất nhập khẩu, Bán hàng / Kinh doanh, Nhân sự",Nhân viên chính thức,450 - 550 USD,nan,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-ban-hang-xuat-khau.35BDED00.html,"Chuyên Viên Bán Hàng Xuất Khẩu
                                             (Mới)",CÔNG TY CỔ PHẦN XUÂN HÒA VIỆT NAM,Vĩnh Phúc,Hạn nộp: 03-11-2023,['03-10-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-chung-tu-xuat-nhap-khau.35BDE998.html,"Nhân viên chứng từ xuất nhập khẩu
                                             (Mới)",Công ty Cổ Phần Dệt May Đông Khánh,Hồ Chí Minh,Hạn nộp: 15-10-2023,['03-10-2023'],Xuất nhập khẩu,Nhân viên chính thức,Trên10 Tr VND,Trên1 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-xuat-nhap-khau-sales-logistics.35BDD42F.html,Nhân Viên Kinh Doanh Xuất Nhập Khẩu (Sales Logistics),Vantage Logistics Corporation,Hà Nội,Hạn nộp: 31-10-2023,['02-10-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-sales-quoc-te.35BDE958.html,"Nhân Viên Sales Quốc Tế
                                             (Mới)",CÔNG TY TNHH THỰC PHẨM VÀ ĐỒ UỐNG INTERFRESH,Bình Dương,Hạn nộp: 02-11-2023,['02-10-2023'],"Bán hàng / Kinh doanh, Xuất nhập khẩu",Nhân viên chính thức,Trên25 Tr VND,nan,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau.35BDB3BD.html,Nhân viên xuất nhập khẩu,CÔNG TY TNHH ORIENTAL GARMENT AN GIANG,An Giang,Hạn nộp: 30-10-2023,['01-10-2023'],Xuất nhập khẩu,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/truong-bo-phan-chung-tu-khai-bao-hai-quan.35BDE822.html,TRƯỞNG BỘ PHẬN CHỨNG TỪ KHAI BÁO HẢI QUAN,CÔNG TY TNHH VẬN CHUYỂN VÙNG VỊNH,Hồ Chí Minh,Hạn nộp: 31-10-2023,['30-09-2023'],"Xuất nhập khẩu, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,15 Tr - 20 Tr VND,2 - 4 Năm,Quản lý,nan
